Artist,Title,Difficulty,Link,Mod,Length,Star
Reol,Asymmetry,P A N's Extra,https://osu.ppy.sh/b/661705&m=0,None,4:10,5.49
Memme,BSPower Explosion,0108,https://osu.ppy.sh/b/140937,None,2:17,5.3
MARiA,Buriki No Dance,AriExtra,https://osu.ppy.sh/s/201482,None,3:05,5.44
Wotamin,Chikyuu No Saigo Kokuhaku,Love,https://osu.ppy.sh/b/242093,None,4:20,5.34
ClariS,Colorful (tamane's apostate remix),Insane,https://osu.ppy.sh/b/470732,None,5:20,5.38
LiSA,EGOiSTiC SHOOTER,Kyshiro's Extra,https://osu.ppy.sh/s/253313,None,2:51,5.3
Cres,End Time,Extra,https://osu.ppy.sh/b/432839,None,2:08,5.37
EGOIST,Fallen,Extra,https://osu.ppy.sh/b/538930,None,4:26,5.42
Mitsunori Ikeda,Fallen Angel (El Poco Maro Remix),Ascension,https://osu.ppy.sh/b/403050,None,5:49,5.03
BiBi,Fuyu Ga Kureta Yokan,Expert,https://osu.ppy.sh/b/599487&m=0,None,2:15,5.28
Supercell,Hoshi Ga Matataku Konna Yoru Ni,Starlight,https://osu.ppy.sh/s/294042,None,4:24,5:27
Sagara Kokoro,Hoshizora No Ima,Extra,https://osu.ppy.sh/b/391228,None,3:49,5.41
yuikonnu,Kakushigoto,Insane,https://osu.ppy.sh/b/315260,None,3:44,5.25
ZUN,Kobito of the Shining Needle~Little Princess,Extra,https://osu.ppy.sh/b/306018,None,3:40,5.2
Sana,Kokuhaku Yokou Renshuu,Expert,https://osu.ppy.sh/b/679226&m=0,None,2:37,5.13
Dark PHOENiX,Last Remote-type gamma,Insane,https://osu.ppy.sh/b/236344,None,3:53,5.24
Lon,MATRYOSHKA,Extra,https://osu.ppy.sh/b/285086,None,3:30,5.31
Tamura Yukari,MERRY MERRY MENU...NE,Extra,https://osu.ppy.sh/b/509913,None,3:19,5.31
AKINO,MIIRO,Miiro,https://osu.ppy.sh/b/592367&m=0,None,4:10,5.46
rerulili,Noushou Sakuretsu Girl,Rin,http://osu.ppy.sh/b/16240,None,2.54,5.16
UPLIFT SPICE,Omega Rhythm,Extra,https://osu.ppy.sh/b/366140,None,2:47,5.47
t+pazolite,Pumpin' Junkies,DUGEM,https://osu.ppy.sh/b/462678,None,4:08,5.45
nano.RIPE,Real World,Insane,https://osu.ppy.sh/b/177735,None,3:22,5.21
Blue Stahli,Shotgun Senorita (Zardonic Remix),Insane,https://osu.ppy.sh/s/65853,None,2:11,5.33
DECO*27,Streaming Heart,Extra,https://osu.ppy.sh/b/391182&m=0,None,2:57,5.38
Fear and Loathing in Las Vegas,Swing it!!,Extra,https://osu.ppy.sh/b/492543,None,3:37,5.33
Indivision & Livewire(feat. Tasha Baxter),Won't You Stay,Forever And a Day,https://osu.ppy.sh/b/692389,None,5:07,5.37
An,Xhroria,Another,https://osu.ppy.sh/b/227772&m=0,None,2:01,5.18
BMS(Junk),Yellow Smile(bms edit),Extra,https://osu.ppy.sh/b/537989,None,1:55,5.2
Himeringo,Yotsuya-San ni Yoroshiku,Insane,https://osu.ppy.sh/b/351993&m=0,None,2:51,5.15
Ray,~lull~Soshite Bokura  Wa~,Insane,https://osu.ppy.sh/b/438061,Double Time,4:28 (2:58),3.77 (5.27)
BRIGHT,1 Year 2 Months 20 Days,Athena,https://osu.ppy.sh/b/204428,Double Time,2:57 (1:58),3.69 (5.17)
Avicii,Addicted To You,Insane,https://osu.ppy.sh/b/445437,Double Time,2:20 (1:33),3.63 (4.96)
Blue Stahli,Atom Smasher,Advanced,https://osu.ppy.sh/b/239259,Double Time,2:09 (1:26),3.7 (5.16)
ClariS,Click,Insane,https://osu.ppy.sh/b/361011,Double Time,4:21 (2:54),3.7 (5.03)
Duca,Clover (Short Ver.),Insane,https://osu.ppy.sh/b/118751,Double Time,1:34 (1:02),3.57 (4.95)
Halcyonic Falcon X,Crystalis Fantasia,Insane,https://osu.ppy.sh/b/344789?m=0,Double Time,2:21 (1:34),3.86 (5.32)
Lindsey Stirling,Crystalize,Black Snow,https://osu.ppy.sh/b/145157,Double Time,3:56 (2:37),3.56 (4.95)
Yasuo-P,Electric Angel,Collab,https://osu.ppy.sh/b/167535,Double Time,1:34 (1:02),3.62 (5.02)
Girl's Day,Expectation,Hard,https://osu.ppy.sh/b/236486,Double Time,3:15 (2:10),3.56 (4.97)
Zedd,Find You,Reclaimed,https://osu.ppy.sh/b/404940,Double Time,3:15 (2:10),3.59 (4.88)
FELT,Flower Flag,happy30,https://osu.ppy.sh/b/113679,Double Time,4:19 (2:52),3.85 (5.2)
SMiLE.dk,Golden Sky,Insane,https://osu.ppy.sh/b/155404?m=0,Double Time,2:59 (1:59),3.61 (5.05)
Tsuji Ayano,Kaze ni Naru,Insane,https://osu.ppy.sh/b/413446&m=0,Double Time,2.44 (1:49),3.56 (4.91)
Marika,Knowing,cRyo's Insane,https://osu.ppy.sh/b/162237,Double Time,2:59 (1:59),3.55 (4.92)
Tianshi,Melancholic,Rin,https://osu.ppy.sh/b/92471,Double Time,3:34 (2:22),3.73 (5.08)
KOTOKO,Namida No Chikai,D.N.Angel,https://osu.ppy.sh/b/142375,Double Time,3:49 (2:32),3.58 (4.95)
Shano x 40mp,Natuskoi Hanabi,Insane,https://osu.ppy.sh/b/274085,Double Time,4:36 (3:04),3.91 (5.35)
KOKIA,Ningen tte Sonna Mono Ne,Humanity,https://osu.ppy.sh/b/200829,Double Time,4:54 (3:16),3.68 (5.07)
Yiruma & Skulee,River Flows In You (Love Note),Love Note,https://osu.ppy.sh/b/199049,Double Time,2:20 (1:33),3.5 (4.92)
September,Satellites,Insane,https://osu.ppy.sh/b/369921,Double Time,3:08 (2:05),3.93 (5.18)
Crayon Pop,Saturday Night,Hard,https://osu.ppy.sh/b/291562,Double Time,3:03 (2:02),3.56 (4.93)
Dormir,Sayonara Trip,Insane,https://osu.ppy.sh/b/174604,Double Time,1:41 (1:07),3.69 (5.08)
Darren Korb,Setting Sail Coming Home,Insane,https://osu.ppy.sh/b/283593,Double Time,2:40 (1:46),3.6 (4.98)
FELT,Sky Gate,Lunatic,https://osu.ppy.sh/b/327256&m=0,Double Time,4:40 (3:06),3.70 (5.04)
Horinaka Yuki,Spec Dake Tsukaikitta Gamesoft no You Desuu,Insane,https://osu.ppy.sh/b/126134,Double Time,2:13 (1:28),3.59 (4.98)
cYsmix feat. Emmy,Tear Rain,Insane,https://osu.ppy.sh/b/351189,Double Time,3:59 (2:39),3.61 (5.01)
Hanatan,Torinoko City,Insane,https://osu.ppy.sh/b/558277,Double Time,3:20 (2:13),3.82 (5.32)
yanaginagi,Vidro Moyou,Insane,https://osu.ppy.sh/b/308908&m=0,Double Time,4:34 (3:02),3.72 (5.12)
Kawada Mami,Wings of Courage -Sore o Koete-,wkyik's Insane,https://osu.ppy.sh/b/654387,Double Time,2:14 (1:29),3.64 (5.01)
Tritonal,Anchor (Noisestorm Remix),Asphyxia's Insane,https://osu.ppy.sh/b/660622,Hard Rock,1:50,4.83 (5.14)
yuikonnu,AOI-IRO STEP,Insane,https://osu.ppy.sh/b/623277,Hard Rock,3:01,4.71 (5.02)
Uchida Aya,Blueberry Train,Insane,https://osu.ppy.sh/b/355510,Hard Rock,3:41,4.57 (4.84)
Knife Party,Bonfire,Rage,https://osu.ppy.sh/b/281918,Hard Rock,2:23,4.64 (4.93)
LeaF,Calamity Fortune,SCV's Lunatic,https://osu.ppy.sh/b/261725,Hard Rock,2:10,4.84 (5.02)
sakuzyo,ChaiN De/structioN,Loneliness,https://osu.ppy.sh/b/154165,Hard Rock,3:15,4.73 (4.87)
Dirty Androids,City Never Sleeps,Special,https://osu.ppy.sh/b/542996,Hard Rock,1:38,4.84 (5.04)
The Frim,City Streets,Asphyxia's Insane,https://osu.ppy.sh/b/465524,Hard Rock,1:47,4.72 (5.02)
Nekomata Master,Far East Nightbird (kors k Remix),RLC's Extra,https://osu.ppy.sh/b/358273,Hard Rock,4:55,4.78 (4.95)
TATSH,HEAVENLY MOON,Extreme,https://osu.ppy.sh/b/150621,Hard Rock,1:53,4.73 (4.9)
Himeringo,Idola No Circus,Expert,https://osu.ppy.sh/b/364473,Hard Rock,3:28,4.69 (4.96)
LiSA,Jet Rocket,RUN!!!,https://osu.ppy.sh/b/360736,Hard Rock,4:21,4.82 (5.12)
ALiCE'S EMOTION,LUNA,Lunatic,https://osu.ppy.sh/b/152180,Hard Rock,3:30,4.74 (5.03)
BMS(LeaF),MEPHISTO,Another,https://osu.ppy.sh/b/282166,Hard Rock,1:59,4.79 (4.96)
Doxx & Feint,Mind in Motion,Insane,https://osu.ppy.sh/b/538573,Hard Rock,2:20,4.59 (4.89)
Amatsuki & Midori Inu.,Mono Crossroad,Insane,https://osu.ppy.sh/b/487759,Hard Rock,3:35,4.64 (4.95)
U2 Akiyama,Mystic Oriental Love Consultation,Lunatic,https://osu.ppy.sh/b/116169,Hard Rock,2:25,4.79 (4.95)
Supercell,ODDS&ENDS,Insane,https://osu.ppy.sh/b/183357,Hard Rock,5:27,4.76 (5.02)
Amatsuki,Outer Science,Insane,https://osu.ppy.sh/b/337873,Hard Rock,3:12,4.68 (4.98)
Baru,ResoAlive,Extra,https://osu.ppy.sh/b/301690,Hard Rock,3:58,4.8 (5)
RedMuffleR,Rubeus,Fort's EXHAUST,https://osu.ppy.sh/b/635493&m=0,Hard Rock,1:48,4.75 (4.84)
Tama,Saigetsu (Midnight Moon Walker Remix),Lunatic,https://osu.ppy.sh/b/172360,Hard Rock,3:37,4.62 (5.02)
Bokura wa Piacere!,Sekai de Hitotsu no Takaramono,Insane,https://osu.ppy.sh/b/159316,Hard Rock,2:30,4.62 (4.93)
RURUTIA,Shin'ai,AI's Extra,https://osu.ppy.sh/b/396009,Hard Rock,3:07,4.86 (5.18)
Eguchi Takahiro,Silver Temple,Insane,https://osu.ppy.sh/b/392786,Hard Rock,2:08,4.64 (4.95)
yuikonnu & ayaponzu*,Super Nuko World,Insane,https://osu.ppy.sh/b/476149,Hard Rock,3:38,4.84 (5.12)
MuryokuP,Sweet Cendrillon Drug,Cendrillon,https://osu.ppy.sh/b/207846,Hard Rock,3:57,4.72 (5)
capitaro,Tenshinraman High Collar Hime,Insane,https://osu.ppy.sh/b/169387,Hard Rock,2:53,4.78 (5.07)
wowaka,World's End Dancehall (Rocketman Remix),Insane,https://osu.ppy.sh/b/294387,Hard Rock,4:19,4.81 (5.12)
Choucho,Yasashisa No Riyuu,Insane,https://osu.ppy.sh/b/188819,Hard Rock,4:09,4.55 (4.84)
Yooh,-snow storm- euphoria-,INFINITE,https://osu.ppy.sh/b/386759,Hidden,1:56,5.13
nano,A Genesis,Rakuen's Extra,https://osu.ppy.sh/b/497467,Hidden,3:25,5.05
Mind Vortex,Arc,Nsane,https://osu.ppy.sh/b/239037,Hidden,2:33,5.18
An,artcore JINJA,Lunatic,https://osu.ppy.sh/b/297411,Hidden,2:12,5.01
Renard,Blue Night,DoKo,https://osu.ppy.sh/b/116006,Hidden,3:37,5.08
Zedd,Clarity feat. Foxes (IOSYS uno DENPA Remix),Insane,https://osu.ppy.sh/b/236344,Hidden,3:32,5.02
ONE OK ROCK,Clock Strikes,Insane,https://osu.ppy.sh/b/633373,Hidden,3:29,5.02
Lifetheory,Daisy,Blossom,https://osu.ppy.sh/b/304602,Hidden,1:49,4.92
Gavin G,Desire,Aspiration,https://osu.ppy.sh/b/559809&m=0,Hidden,2:25,4.97
Toyosaki Aki,Diamond,Insane,https://osu.ppy.sh/s/111760,Hidden,2:58,4.95
nao,Dimensional Tripper!!!!,wkyik's Insane,https://osu.ppy.sh/b/334843&m=0,Hidden,4:10,5.1
Masayoshi Minoshima,Flight of the Bamboo Cutter,Lunatic,https://osu.ppy.sh/b/148000,Hidden,3:23,5.16
DJ Fresh,Gold Dust,Insane,https://osu.ppy.sh/b/93842,Hidden,3:01,4.93
Rise Against,Injection,oko's Insane,https://osu.ppy.sh/b/560651,Hidden,2:21,5.08
senya,Kanjou Chemistry (Drum 'n' Bass Remix),Exw,https://osu.ppy.sh/b/255700,Hidden,4:39,5.15
yanaginagi,Killer Song (Short Ver.),Insane,https://osu.ppy.sh/b/139634,Hidden,2:12,4.92
Hanatan,Kimi No Kiseki,S.S,https://osu.ppy.sh/b/165883,Hidden,2:22,5.15
yuikonnu & ayaponzu*,Kunoichi Demo Koi ga Shitai,Insane,https://osu.ppy.sh/b/290799,Hidden,3:51,5.1
paraoka,Manima ni (Short ver),0108,https://osu.ppy.sh/b/131362,Hidden,2:30,4.98
Traktion,Mission ASCII,Another,https://osu.ppy.sh/b/162405,Hidden,3:18,5.02
Toyosaki Aki,MORE&MORE,Insane,https://osu.ppy.sh/b/318975,Hidden,3:38,5.06
Sota Fujimori,Move That Body (Extended Mix),RLC's Insane,https://osu.ppy.sh/b/547229,Hidden,4:00,4.92
Perfume,MY COLOR,Extra,https://osu.ppy.sh/b/315660,Hidden,4:52,5
u's,No Brand Girls,Insane,https://osu.ppy.sh/b/245658,Hidden,3:59,4.93
Tristam ,Once Again,Collab,https://osu.ppy.sh/b/502418,Hidden,3:31,4.98
ayaponzu*,Otsukimi Recital,Insane,https://osu.ppy.sh/b/416213,Hidden,3:34,5.11
Jeff William's,Red Like Roses,Ruby,https://osu.ppy.sh/b/244781,Hidden,3:07,5.11
Owl City,Up All Night,Insane,https://osu.ppy.sh/b/676636,Hidden,3:30,4.98
DJ YOSHITAKA,VALLIS-NERIA,Extreme,https://osu.ppy.sh/b/186061,Hidden,2:05,5.17
Yousei Teikoku,Wahreit,Saten,https://osu.ppy.sh/b/164183,Hidden,4:29,5.18
xi,Happy End of the World,Happy End,https://osu.ppy.sh/s/129676,Tiebreaker,6:17,5.45
Demetori,Kanjou No Matenrou~ World's End,Extra Stage,https://osu.ppy.sh/b/335628?m=0,Tiebreaker,7:07,5.6
Halozy,Kanshou No Matenrou,Eternal,https://osu.ppy.sh/s/179699,Tiebreaker,5:26,5.67
Functional Phantom,Neuronecia,Ethereal,https://osu.ppy.sh/b/541990?m=0,Tiebreaker,3:26,5.28
Renard,Smoke Tower,Trauma,https://osu.ppy.sh/b/339640,Tiebreaker,3:49,5.55
supercell,The Bravery,Depravity,https://osu.ppy.sh/b/631413,Tiebreaker,5:48,5.54
Infected Mushroom,The Pretender,Pretender,https://osu.ppy.sh/s/79498,Tiebreaker,6:25,5.49
TRakker,Trail of Dust,Trail of Star,https://osu.ppy.sh/s/207045,Tiebreaker,6:30,5.67
Our Stolen Theory,United (L.A.O.S Remix),Infinity,https://osu.ppy.sh/b/550235?m=0,Tiebreaker,5:25,5.64
Wakeshima Kanon,World's End Girl's Rondo (Asterisk DnB Remix),World's End,https://osu.ppy.sh/s/301703,Tiebreaker,5:40,5.27